project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,gmean_bst,r1_bst,r0_bst,cl_rsme_bst,initial_pf,drop_pf,stable_pf
brackets,15,oob,20,0.900,-1.000,0.58478,0.46386,0.79946,1.889,0.17305,0.45166,0.58857
broadleaf,15,odasc,30,0.950,0.900,0.60944,0.50446,0.76153,0.407,0.27264,nan,0.61725
broadleaf,15,oob,30,0.950,-1.000,0.52167,0.34194,0.85920,1.914,0.16492,0.37641,0.56566
brackets,15,odasc,20,0.900,0.800,0.62692,0.61578,0.67441,0.418,0.20416,0.41670,0.64453
fabric,15,oob,10,0.950,-1.000,0.60665,0.45902,0.82841,1.912,0.32511,0.45208,0.62959
fabric,15,odasc,30,0.950,0.900,0.64848,0.55261,0.78594,0.364,0.47564,0.48625,0.67344
jgroups,15,oob,5,0.950,-1.000,0.43416,0.23249,0.87910,1.915,0.08737,0.34430,0.44997
jgroups,15,odasc,20,0.950,0.900,0.50821,0.33617,0.83096,0.393,0.10094,nan,0.52708
tomcat,15,odasc,10,0.990,0.900,0.61421,0.58603,0.67343,0.424,0.46759,0.44791,0.62747
tomcat,15,oob,15,0.990,-1.000,0.54865,0.39238,0.80714,1.867,0.14210,0.41827,0.55999
nova,15,oob,20,0.990,-1.000,0.48727,0.34399,0.84422,1.804,0.23624,0.26969,0.58916
nova,15,odasc,30,0.990,0.800,0.59369,0.51797,0.74620,0.409,0.41096,0.41207,0.64204
corefx,15,odasc,15,0.950,0.800,0.54023,0.33463,0.90189,0.333,0.33407,0.42277,0.54483
corefx,15,oob,30,0.950,-1.000,0.49458,0.26928,0.93920,1.963,0.27802,0.36576,0.51535
django,15,oob,30,0.950,-1.000,0.53471,0.33743,0.90615,1.802,0.22755,0.38463,0.56678
django,15,odasc,30,0.900,0.900,0.67661,0.57859,0.81375,0.400,0.54491,0.52311,0.69956
camel,15,odasc,10,0.999,0.800,0.67714,0.71839,0.64707,0.381,0.58969,0.48089,0.68312
camel,15,oob,10,0.990,-1.000,0.64933,0.55423,0.77167,1.920,0.56344,0.48885,0.65284
wp-calypso,15,odasc,5,0.950,0.800,0.62974,0.51723,0.78993,0.409,0.35663,nan,0.64394
wp-calypso,15,oob,5,0.950,-1.000,0.57517,0.39382,0.86624,1.894,0.30815,0.43996,0.58923
fabric,15,oob_aio,10,0.950,-1.000,0.64115,0.50082,0.82377,1.896,0.58826,0.65823,0.63963
rails,15,oob,15,0.999,-1.000,0.54082,0.34565,0.87949,1.875,0.09854,0.39521,0.55153
vscode,15,oob,5,0.950,-1.000,0.43401,0.20316,0.96263,1.989,0.05311,0.32484,0.43991
jgroups,15,odasc_aio,20,0.950,0.900,0.58884,0.45043,0.81539,0.397,0.10159,nan,0.61141
vscode,15,odasc,5,0.950,0.900,0.51038,0.28276,0.94618,0.351,0.06390,0.36301,0.51257
