project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,gmean_bst,r1_bst,r0_bst,cl_rsme_bst,initial_pf,drop_pf,stable_pf
brackets,15,odasc,20,0.9,0.8,0.62692,0.61578,0.67441,0.418,0.20416,0.4167,0.64453
broadleaf,15,odasc,30,0.95,0.9,0.60944,0.50446,0.76153,0.407,0.27264,nan,0.61725
camel,15,odasc,10,0.999,0.8,0.67714,0.71839,0.64707,0.381,0.58969,0.48089,0.68312
corefx,15,odasc,15,0.95,0.8,0.54023,0.33463,0.90189,0.333,0.33407,0.42277,0.54483
django,15,odasc,30,0.9,0.9,0.67661,0.57859,0.81375,0.4,0.54491,0.52311,0.69956
fabric,15,odasc,30,0.95,0.9,0.64848,0.55261,0.78594,0.364,0.47564,0.48625,0.67344
jgroups,15,odasc,20,0.95,0.9,0.50821,0.33617,0.83096,0.393,0.10094,nan,0.52708
nova,15,odasc,30,0.99,0.8,0.59369,0.51797,0.7462,0.409,0.41096,0.41207,0.64204
rails,15,odasc,10,0.99,0.9,0.64038,0.55174,0.76218,0.394,0.53534,0.48159,0.64855
rust,15,odasc,10,0.95,0.8,0.3182,0.13851,0.96281,0.441,0.06256,0.18552,0.31876
tensorflow,15,odasc,10,0.95,0.8,0.68073,0.60465,0.77161,0.373,0.59374,nan,0.68229
tomcat,15,odasc,10,0.99,0.9,0.61421,0.58603,0.67343,0.424,0.46759,0.44791,0.62747
vscode,15,odasc,5,0.95,0.9,0.51038,0.28276,0.94618,0.351,0.0639,0.36301,0.51257
wp-calypso,15,odasc,5,0.95,0.8,0.62974,0.51723,0.78993,0.409,0.35663,nan,0.64394
brackets,15,odasc_aio,20,0.9,0.8,0.68289,0.59621,0.78412,0.393,0.61933,0.69934,0.68207
broadleaf,15,odasc_aio,30,0.95,0.9,0.67434,0.67881,0.67293,0.397,0.66443,nan,0.6746
camel,15,odasc_aio,10,0.999,0.8,0.68496,0.75109,0.62719,0.394,0.67341,0.66497,0.68572
corefx,15,odasc_aio,15,0.95,0.8,0.69196,0.63825,0.75329,0.39,0.7153,0.68091,0.69203
django,15,odasc_aio,30,0.9,0.9,0.66974,0.57532,0.78433,0.396,0.5913,0.66342,0.67919
fabric,15,odasc_aio,30,0.95,0.9,0.69726,0.70452,0.69209,0.4,0.66651,0.7019,0.69744
jgroups,15,odasc_aio,20,0.95,0.9,0.58884,0.45043,0.81539,0.397,0.10159,nan,0.61141
nova,15,odasc_aio,30,0.99,0.8,0.6851,0.73587,0.63951,0.395,0.62534,0.67553,0.68865
rails,15,odasc_aio,10,0.99,0.9,0.68026,0.70441,0.66116,0.393,0.58863,0.638,0.68677
rust,15,odasc_aio,10,0.95,0.8,0.70328,0.65519,0.75808,0.392,0.56468,0.56173,0.70384
tensorflow,15,odasc_aio,10,0.95,0.8,0.70586,0.65667,0.76103,0.389,0.6255,nan,0.70728
tomcat,15,odasc_aio,10,0.99,0.9,0.6688,0.71698,0.62727,0.399,0.65146,0.67613,0.66992
vscode,15,odasc_aio,5,0.95,0.9,0.69332,0.62441,0.77248,0.394,0.79456,0.67588,0.69342
wp-calypso,15,odasc_aio,5,0.95,0.8,0.67081,0.60028,0.75246,0.39,0.58609,nan,0.67538
brackets,15,odasc_filtering,20,0.9,0.8,0.62274,0.56063,0.73898,0.403,0.20474,0.42825,0.63917
broadleaf,15,odasc_filtering,30,0.95,0.9,0.63126,0.54518,0.74819,0.385,0.27412,nan,0.63954
camel,15,odasc_filtering,10,0.999,0.8,0.68016,0.71822,0.65648,0.385,0.57779,0.47342,0.68704
corefx,15,odasc_filtering,15,0.95,0.8,0.5068,0.29009,0.91834,0.307,0.33347,0.37818,0.51141
django,15,odasc_filtering,30,0.9,0.9,0.68472,0.57523,0.83375,0.403,0.54526,0.58376,0.70598
fabric,15,odasc_filtering,30,0.95,0.9,0.64314,0.57608,0.75172,0.384,0.47561,0.47406,0.66885
jgroups,15,odasc_filtering,20,0.95,0.9,0.52545,0.36601,0.80921,0.444,0.10204,nan,0.54507
nova,15,odasc_filtering,30,0.99,0.8,0.57965,0.49136,0.74913,0.408,0.42103,0.43065,0.61948
rails,15,odasc_filtering,10,0.99,0.9,0.65999,0.61904,0.71659,0.405,0.53128,0.53877,0.66954
rust,15,odasc_filtering,10,0.95,0.8,0.33011,0.1447,0.95268,0.378,0.06256,0.16488,0.3308
tensorflow,15,odasc_filtering,10,0.95,0.8,0.68811,0.60711,0.78393,0.369,0.59013,nan,0.68986
tomcat,15,odasc_filtering,10,0.99,0.9,0.6304,0.61982,0.66116,0.426,0.48778,0.49204,0.6429
vscode,15,odasc_filtering,5,0.95,0.9,0.50602,0.27977,0.94125,0.312,0.05069,0.37058,0.50809
wp-calypso,15,odasc_filtering,5,0.95,0.8,0.63632,0.51978,0.80173,0.382,0.36707,nan,0.65032
brackets,15,oob,20,0.9,-1,0.58478,0.46386,0.79946,1.889,0.17305,0.45166,0.58857
broadleaf,15,oob,30,0.95,-1,0.52167,0.34194,0.8592,1.914,0.16492,0.37641,0.56566
camel,15,oob,10,0.99,-1,0.64933,0.55423,0.77167,1.92,0.56344,0.48885,0.65284
corefx,15,oob,30,0.95,-1,0.49458,0.26928,0.9392,1.963,0.27802,0.36576,0.51535
django,15,oob,30,0.95,-1,0.53471,0.33743,0.90615,1.802,0.22755,0.38463,0.56678
fabric,15,oob,10,0.95,-1,0.60665,0.45902,0.82841,1.912,0.32511,0.45208,0.62959
jgroups,15,oob,5,0.95,-1,0.43416,0.23249,0.8791,1.915,0.08737,0.3443,0.44997
nova,15,oob,20,0.99,-1,0.48727,0.34399,0.84422,1.804,0.23624,0.26969,0.58916
rails,15,oob,15,0.999,-1,0.54082,0.34565,0.87949,1.875,0.09854,0.39521,0.55153
rust,15,oob,10,0.95,-1,0.27118,0.10192,0.97551,1.99,0.0378,0.14255,0.27153
tensorflow,15,oob,10,0.95,-1,0.61568,0.44688,0.85903,1.893,0.42297,0.46237,0.61677
tomcat,15,oob,15,0.99,-1,0.54865,0.39238,0.80714,1.867,0.1421,0.41827,0.55999
